memset01.ring.nlnog.net,37.128.134.97,2a02:24e0:2:ab2f:e020:8b3:cf19:9e11
poprs01.ring.nlnog.net,200.132.1.8,2804::c010:200:132:1:8
plurimedia01.ring.nlnog.net,213.225.160.175,2001:810:0:14::175
vellance01.ring.nlnog.net,217.195.114.152,2a03:5500:1:2:217:195:114:152
hostvirtual02.ring.nlnog.net,103.6.84.107,2403:2500:8000:1::62e
ovh02.ring.nlnog.net,37.187.50.166,2001:41d0:52:400::53b
web2objects01.ring.nlnog.net,167.160.40.65,2602:ffd9:211:6::2
pinse01.ring.nlnog.net,89.189.198.14,2a02:760:1000:f::2
fullsave01.ring.nlnog.net,141.0.202.201,2a01:6600:10c0:808::1
berkeley01.ring.nlnog.net,128.32.158.100,2607:f140:ffff:ff07::a
businessconnect01.ring.nlnog.net,46.183.250.9,2a01:8800:0:250::9
mitsol01.ring.nlnog.net,197.231.144.188,2c0f:ee28:1:1::188
rrbone01.ring.nlnog.net,31.172.10.5,2a01:a700:4836::1:2
suomi01.ring.nlnog.net,217.119.42.194,2a00:1190:0:1003::2
ampath01.ring.nlnog.net,190.103.186.186,2800:bc0:0:10::186
strato01.ring.nlnog.net,81.169.160.77,2a01:238:b:f034::77
csuc01.ring.nlnog.net,84.88.14.229,2001:40b0:1:1122:ce5c:a007:0:2
nordunet01.ring.nlnog.net,109.105.111.80,2001:948:4:6::80
freethought01.ring.nlnog.net,176.74.17.69,2a00:b980:2:4::399:9b5c
gitoyen01.ring.nlnog.net,80.67.163.250,2001:910:0:39::250
digitalocean05.ring.nlnog.net,139.59.43.142,2400:6180:100:d0::cf4:b001
leaseweb01.ring.nlnog.net,85.17.150.181,2001:1af8:4300:a004:8::2
solcon01.ring.nlnog.net,212.45.52.2,2001:9e0:400:53:212:45:52:2
liquidtelecom01.ring.nlnog.net,41.60.207.30,2a01:410:1:4003:41:60:207:30
jaguarnetwork01.ring.nlnog.net,85.31.196.24,2a01:240:101::24
ovh03.ring.nlnog.net,5.196.13.221,2001:41d0:52:600::671
interconnect01.ring.nlnog.net,212.83.212.122,2001:4018:1000:b::2
trueinternet01.ring.nlnog.net,203.144.167.57,2001:fb0:100:ffff:211:25ff:fe40:9468
svwh01.ring.nlnog.net,72.5.72.35,2606:c680:1:17:6c02:c1ff:fea3:d427
tfskok01.ring.nlnog.net,91.212.242.244,2001:67c:24c::b
iucc01.ring.nlnog.net,128.139.197.81,2001:bf8:900:1::808b:c551
kordia01.ring.nlnog.net,124.157.73.94,2404:6c00:1:f::2
fasttrackcomm01.ring.nlnog.net,206.123.203.163,2607:6400:700:2::3163
nynex01.ring.nlnog.net,109.236.159.249,2a00:e60:7000:1::249:1
elvisru01.ring.nlnog.net,194.190.198.13,2a00:1c88:1::13
sapphire01.ring.nlnog.net,195.166.195.252,2a02:638:8:1::4
amazon15.ring.nlnog.net,52.15.184.0,2600:1f16:cfd:6400::15
tripleit01.ring.nlnog.net,93.187.11.10,2a00:1f00:dc06:11::10
leaseweb03.ring.nlnog.net,192.96.206.13,2604:9a00:2100:af05:baaa::1
23media01.ring.nlnog.net,212.83.32.45,2a00:f48:1007::8
clouddk01.ring.nlnog.net,185.134.31.241,2a06:eac0:3000::3
dcenterpl01.ring.nlnog.net,213.5.10.55,2a00:e800:10::55
exanetworks01.ring.nlnog.net,82.219.48.9,2a02:b80:2:7:1::1
compudyne01.ring.nlnog.net,192.208.55.11,2604:1940:0:8004::1000
skyway01.ring.nlnog.net,109.234.105.30,2a00:18e0:0:dc:109:234:105:30
arnfai01.ring.nlnog.net,89.234.141.104,2a00:5881:8110:800::1
dhiraagu01.ring.nlnog.net,103.31.84.12,2406:e400:1:10::10
upcloud06.ring.nlnog.net,94.237.64.45,2a04:3543:1000:2310:a8aa:aaff:fea0:62bc
gossamerthreads01.ring.nlnog.net,208.70.247.50,2607:fcc0:2:1:208:70:247:50
nexthop01.ring.nlnog.net,91.90.104.206,2a02:d140:1:44::2
ovh04.ring.nlnog.net,192.99.153.129,2607:5300:101::599
vshn02.ring.nlnog.net,185.72.236.108,2a05:3d80:8000:208::108
profitbricks01.ring.nlnog.net,46.16.72.7,2a02:2478::666
swisscom01.ring.nlnog.net,193.247.170.254,2001:918:0:64::2
hosting90systems01.ring.nlnog.net,37.46.80.118,2a03:b780:1:4:216:3eff:fe00:a76
viatel02.ring.nlnog.net,46.183.108.2,2a01:8aa0:7f00:0:20c:29ff:fe60:bfac
networkoperations01.ring.nlnog.net,80.73.130.123,2a01:5140:130::123
dataoppdrag01.ring.nlnog.net,95.141.83.106,2a02:f58:5:5::2
nlnetlabs01.ring.nlnog.net,185.49.141.7,2a04:b900:0:100::7
utwente01.ring.nlnog.net,130.89.6.17,2001:67c:2564:a115:250:56ff:fe89:6d65
viatel03.ring.nlnog.net,212.126.61.70,2a01:8aa0:0:ffff:20c:29ff:fe3f:d8e7
belwue01.ring.nlnog.net,129.143.4.179,2001:7c0:701:23::2
icanndns02.ring.nlnog.net,192.0.46.158,2620:0:2830:203::158
inxza03.ring.nlnog.net,196.10.55.133,2001:43f8:1f5:a00::133
exnetworks01.ring.nlnog.net,46.30.8.23,2a01:b000:5:1::a
mtwentyfourseven03.ring.nlnog.net,85.204.124.159,2a04:9dc0:0:22::c0
rise01.ring.nlnog.net,43.226.6.82,2401:da80:1000:2::9
octopuce01.ring.nlnog.net,91.194.60.185,2001:67c:288::185
solnet01.ring.nlnog.net,82.220.3.51,2001:1680:2:100:5054:ff:fef8:73a1
ebox03.ring.nlnog.net,172.93.16.166,2606:6d00:eb0:800::2
comhem01.ring.nlnog.net,193.150.194.129,2a04:ae39:300:100::1
atechmedia01.ring.nlnog.net,185.22.208.142,2a00:67a0:a:2::142
joeynetwork01.ring.nlnog.net,89.46.125.9,2a06:8187:fe01:9::1
elastx02.ring.nlnog.net,217.61.244.212,2a07:2180::217:61:244:212
msu01.ring.nlnog.net,93.180.19.229,2a00:f480:0:104::2
is01.ring.nlnog.net,213.197.240.52,2001:9a0:2000:a::1:1
ausregistry01.ring.nlnog.net,120.29.249.252,2001:dcd:11:3d::4
netnod01.ring.nlnog.net,185.42.136.5,2a01:3f0:0:63::6
sernet01.ring.nlnog.net,185.199.219.126,2a0a:a3c0:0:d2c9::219:126
fusix01.ring.nlnog.net,37.139.139.110,2a00:a7c0:1000:1303::1303
cambrium01.ring.nlnog.net,217.19.17.23,2a02:58:3:110::23:1
connectria01.ring.nlnog.net,199.19.208.6,2607:f148:1000::6
pcextreme05.ring.nlnog.net,185.95.29.75,2a05:1500:0:101:4e8:a4ff:fe00:10b
nicbr01.ring.nlnog.net,200.160.6.171,2001:12ff:0:6172::171
xindi01.ring.nlnog.net,185.173.16.145,2a0b:2f00:0:234::145
redpilllinpro02.ring.nlnog.net,87.238.39.42,2a02:c0:400:108::1
ahdde01.ring.nlnog.net,185.176.16.202,2a00:4c40:2002:5::2
a2binternet01.ring.nlnog.net,178.249.153.39,2a02:1668:a2b:1011::39
viatel01.ring.nlnog.net,80.93.31.245,2a01:258:8:6:20c:29ff:fe95:1965
hostway01.ring.nlnog.net,64.40.105.244,2606:6a00::a:c
nedzone01.ring.nlnog.net,178.18.139.54,2a02:990:222::6932:49e9
franceix01.ring.nlnog.net,37.49.234.137,2a00:a4c0:2:1::137
gandi01.ring.nlnog.net,92.243.16.165,2001:4b98:dc0:43:216:3eff:fe18:c91a
cloudvps03.ring.nlnog.net,83.96.201.177,2a02:348:5e6:1::1dff
direcpath01.ring.nlnog.net,65.50.1.70,2607:f1e8:f0f0:b:528a:1948:db90:ec59
virtualone01.ring.nlnog.net,128.127.31.126,2a01:a000:0:5::10
i3d01.ring.nlnog.net,31.204.129.45,2a00:1630:2:a01::1
rootlu01.ring.nlnog.net,94.242.192.13,2a01:608:f::13
