ip4	ip6
5.9.48.243	2a01:4f8:191:14b3::2
5.9.48.243	2a01:4f8:150:8417::2
5.9.48.243	2a01:4f8:191:3349::2
5.9.48.243	2a01:4f8:190:11d7::2
5.9.48.243	2a01:4f8:191:1122::2
5.9.48.243	2a01:4f8:a0:3043::2
5.9.48.243	2a01:4f8:141:224b::2
5.9.48.243	2a01:4f8:160:8442::2
5.9.48.243	2a01:4f8:162:70b6::2
5.9.48.243	2a01:4f8:150:90b7::2
5.9.48.243	2a01:4f8:161:9289::2
5.9.48.243	2a01:4f8:162:314a::2
5.9.48.243	2a01:4f8:a0:10bb::2
5.9.48.243	2a01:4f8:190:7346::2
5.9.48.243	2a01:4f8:162:7381::2
5.9.48.243	2a01:4f8:120:427e::2
5.9.48.243	2a01:4f8:150:93c7::2
5.9.48.243	2a01:4f8:161:50a6::2
5.9.48.243	2a01:4f8:190:64c6::2
5.9.48.243	2a01:4f8:a0:64f6::2
5.9.48.243	2a01:4f8:191:710b::2
5.9.48.243	2a01:4f8:162:51e7::2
5.9.48.243	2a01:4f8:202:3493::2
5.9.48.243	2a01:4f8:162:1228::2
5.9.48.243	2a01:4f8:140:3023::2
5.9.48.243	2a01:4f8:161:305::2
5.9.48.243	2a01:4f8:191:9349::2
13.231.85.192	2a01:4f8:200:7222::2
13.231.85.192	2a00:1838:36:7d::d3c6
185.247.224.191	2002:c35b:ef08::1
185.247.224.191	2a02:120b:2c3c:ec30:5054:ff:fe42:fe68
185.247.224.191	2001:19f0:5:5b2a:5400:3ff:fe0c:70e2
185.247.224.191	2a00:23c4:8b93:3d01:5c7f:9c5c:dc56:7cbe
18.224.185.112	2a00:7c80:0:4e::2
18.224.185.112	2a01:4f8:151:10b7::2
18.224.185.112	2001:41d0:a:69a2::1
18.224.185.112	2a01:4f9:c010:9a7a::1
18.224.185.112	2001:678:cc8::1:10:88
18.224.185.112	2a01:4f8:a0:727d::2
18.224.185.112	2a01:4f8:211:1e4b::2
67.210.228.203	2a01:4f8:192:23ca::2
47.93.173.17	2001:718:801:311:5054:ff:fe19:c483
136.243.146.69	2002:c35b:ef08::1
136.243.146.69	2001:470:de5a::ec
136.243.146.69	2a02:120b:2c3c:ec30:5054:ff:fe42:fe68
136.243.146.69	2001:818:e245:f800:7219:e3ec:79f4:d6fe
136.243.146.69	2605:a601:aaf2:7f00:dea6:32ff:fe53:8aa8
136.243.146.69	2a01:e0a:366:36c0:a460:dbff:fe63:f286
167.172.78.73	2a01:4f8:c2c:6fae::1
167.172.78.73	2a01:4f8:c010:2876::1
173.255.204.124	2002:c35b:ef08::1
173.255.204.124	2001:470:de5a::ec
173.255.204.124	2a00:23c4:8b93:3d01:5c7f:9c5c:dc56:7cbe
173.255.204.124	2605:a601:aaf2:7f00:dea6:32ff:fe53:8aa8
173.249.27.198	2a01:4f8:231:4a16::2
173.249.27.198	2a01:4f8:231:3e53::2
173.249.27.198	2a01:4f8:a0:52cb::2
173.249.27.198	2a01:4f9:4a:4824::2
163.172.83.41	2001:bc8:3444::babe
152.169.125.235	2a02:120b:2c3c:ec30:5054:ff:fe42:fe68
54.254.140.76	2600:1f16:625:e00:caa5:7369:73a4:5711
176.9.28.155	2a01:4f8:150:3096::2
85.214.204.63	2a04:2180:0:2::f2
194.14.246.205	2a01:4f8:190:9005::2
194.14.246.205	2a01:4f8:190:42e6::2
138.197.97.88	2a02:af8:fab0:804:151:236:34:161
138.197.97.88	2a00:1838:36:7d::d3c6
138.197.97.88	2001:41d0:602:1d12::
85.10.195.47	2a01:4f8:191:2e7::2
85.10.195.47	2a01:4f8:161:440b::2
85.10.195.47	2a01:4f8:222:809::2
85.10.195.47	2a01:4f8:151:82a7::2
85.10.195.47	2a01:4f8:202:5118::2
85.10.195.47	2a01:4f8:191:14b3::2
85.10.195.47	2a01:4f8:150:8417::2
85.10.195.47	2a01:4f8:191:3349::2
85.10.195.47	2a01:4f8:a0:3043::2
85.10.195.47	2a01:4f8:141:224b::2
85.10.195.47	2a01:4f8:162:70b6::2
85.10.195.47	2a01:4f8:150:90b7::2
85.10.195.47	2a01:4f8:161:9289::2
85.10.195.47	2a01:4f8:162:314a::2
85.10.195.47	2a01:4f8:a0:10bb::2
85.10.195.47	2a01:4f8:190:7346::2
85.10.195.47	2a01:4f8:162:7381::2
85.10.195.47	2a01:4f8:120:427e::2
85.10.195.47	2a01:4f8:150:93c7::2
85.10.195.47	2a01:4f8:161:50a6::2
85.10.195.47	2a01:4f8:a0:64f6::2
85.10.195.47	2a01:4f8:191:710b::2
85.10.195.47	2a01:4f8:162:51e7::2
85.10.195.47	2a01:4f8:202:3493::2
85.10.195.47	2a01:4f8:162:1228::2
85.10.195.47	2a01:4f8:140:3023::2
85.10.195.47	2a01:4f8:161:305::2
85.10.195.47	2a01:4f8:191:9349::2
158.106.211.78	2a01:4f8:141:47::2
158.106.211.78	2001:41d0:800:275e::
